gen,nevals,avg,stddev,min,max,run,representation
0,50,-0.0099999999999997,0.0,-0.0099999999999997,-0.0099999999999997,1,f0
1,49,-0.0102666619534822,0.0009042946813681,-0.013333337957991,-0.0099999999999997,1,f0
2,46,-0.0103333375322738,0.0010000125971915,-0.0133334993946897,-0.0099999999999997,1,f0
3,45,-0.0103333407625752,0.0010000222887785,-0.0133336339439751,-0.0099999999999997,1,f0
4,46,-0.0101333381337161,0.000653220781933,-0.0133335367061276,-0.0099999999999997,1,f0
5,44,-0.0101333308753465,0.0006531852232406,-0.0133333355591651,-0.0099999999999997,1,f0
6,45,-0.0100666679036138,0.0004666753252053,-0.0133333951800512,-0.0099999999999997,1,f0
7,46,-0.0102666747121885,0.000904337948664,-0.0133336065441561,-0.0099999999999997,1,f0
8,46,-0.0100666685880423,0.0004666801162963,-0.0133334294021168,-0.0099999999999997,1,f0
9,46,-0.0101333329924026,0.0006531938012861,-0.0133334102675353,-0.0099999999999997,1,f0
10,48,-0.0102663496627489,0.000903237723125,-0.0133333339874317,-0.0099999999999997,1,f0
11,47,-0.010066667756449,0.0004666742951455,-0.013333387822468,-0.0099999999999996,1,f0
12,45,-0.0099999999999997,1.525176140960515e-17,-0.0099999999999997,-0.0099999999999996,1,f0
13,47,-0.0100666683550342,0.0004666784852216,-0.0133334177515856,-0.0099999999999996,1,f0
14,46,-0.0101333240397023,0.0006531517357542,-0.0133332029173248,-0.0099999999999996,1,f0
15,44,-0.0103333519968912,0.0010000559906702,-0.0133335612180477,-0.0099999999999996,1,f0
16,44,-0.0100666691473502,0.0004666840314537,-0.0133334573675264,-0.0099999999999995,1,f0
17,45,-0.010466665052941,0.0011566194428721,-0.0133337701745728,-0.0099999999999995,1,f0
18,47,-0.0102666577333914,0.0009042803724865,-0.013333438978869,-0.0099999999999986,1,f0
19,48,-0.0101994863914141,0.0007917967543011,-0.0133336915379127,-0.0099738949104677,1,f0
20,47,-0.0104650895130386,0.0011572736615329,-0.0133335983296246,-0.0099738943235511,1,f0
21,47,-0.0103272507156249,0.0010020627223955,-0.0133335381652273,-0.0099738943235511,1,f0
22,46,-0.0101225358179856,0.000655520175132,-0.0133333483441214,-0.0099734047338064,1,f0
23,44,-0.0101183775315423,0.0006563427699787,-0.0133332384723945,-0.0099734047338064,1,f0
24,48,-0.0101166412648402,0.0006567255575269,-0.0133335192046617,-0.0099738437746132,1,f0
25,46,-0.0102851080767442,0.0009337411880577,-0.0133335577289801,-0.0099736135272164,1,f0
26,49,-0.0105864534012772,0.0012869459350877,-0.013333561784537,-0.0099738437746132,1,f0
27,47,-0.0103196407766526,0.0010046247893178,-0.013333556398506,-0.0099738437746132,1,f0
28,43,-0.0101167356266901,0.0006566872279168,-0.0133333681549925,-0.0099712473483207,1,f0
29,46,-0.0103146143729288,0.0010037641688819,-0.0133335051742449,-0.0099654373710871,1,f0
30,46,-0.010183120074598,0.0007959818945354,-0.013333495800767,-0.009965250485905,1,f0
31,47,-0.0103798253660243,0.0010907434849883,-0.0133335293401237,-0.0099616034295394,1,f0
32,48,-0.0101119879129521,0.0006576875243123,-0.0133332547167317,-0.0099611016721629,1,f0
33,43,-0.0101101366023422,0.0006581279678915,-0.0133335495888406,-0.0099611016721629,1,f0
34,45,-0.0102457900855902,0.0009106507169957,-0.0133335672984815,-0.0099607154133153,1,f0
35,49,-0.0105125877144426,0.0012311767452578,-0.0133337291397622,-0.0099607154133153,1,f0
36,45,-0.0102411943577698,0.000911962351853,-0.0133335491882856,-0.0099607989431553,1,f0
37,46,-0.0100431536259442,0.0004703885745903,-0.01333349837636,-0.0099607989431553,1,f0
38,46,-0.0100387886273718,0.0004709274501334,-0.0133333156171526,-0.0099607989431553,1,f0
39,50,-0.0103092466267617,0.0010081264053454,-0.0133333355356832,-0.0099607346133086,1,f0
40,44,-0.0101034255432146,0.0006593925359327,-0.0133330544440595,-0.0099607166262135,1,f0
41,47,-0.010186910351097,0.0007633933273333,-0.0133335516268825,-0.0099607166262135,1,f0
42,39,-0.0101754905248472,0.0007979987509379,-0.0133334568066054,-0.0099607166262135,1,f0
43,46,-0.0103080578365783,0.0010085864285689,-0.0133336394407695,-0.0099606701063299,1,f0
44,47,-0.0105061757780346,0.0012338044101424,-0.0133332356987223,-0.0099606701063299,1,f0
45,45,-0.010173217669239,0.0007985057870406,-0.0133333432411461,-0.0099606701063299,1,f0
46,45,-0.0101729700192263,0.0007980327357099,-0.0133330900261562,-0.0099606701063299,1,f0
47,47,-0.0101064082692396,0.0006589287429379,-0.0133334452090152,-0.0099606055927176,1,f0
48,44,-0.0102398343041182,0.0009123818836071,-0.0133335637588195,-0.0099606055927176,1,f0
49,46,-0.0101738577350455,0.0007983904782002,-0.0133333796638564,-0.0099606055927176,1,f0
50,48,-0.0100380424455878,0.0004710695137809,-0.0133334939581006,-0.0099606055927176,1,f0
51,48,-0.0102370900701861,0.0009131672453796,-0.0133336350289167,-0.0099606055927176,1,f0
52,44,-0.0103082857190646,0.0010084924733475,-0.0133337599053255,-0.0099605710349219,1,f0
53,46,-0.0101109174818148,0.0006580294273782,-0.0133333583573788,-0.0099606050360629,1,f0
54,45,-0.0101725411556069,0.0007987331636896,-0.0133334249585112,-0.0099605698510309,1,f0
55,47,-0.0101031147234556,0.0006595106337304,-0.0133333107609952,-0.0099605698510309,1,f0
56,46,-0.0103062722274178,0.0010085785413587,-0.0133336099272966,-0.0099605646708735,1,f0
57,49,-0.0101104653090399,0.0006580682822667,-0.0133332340849482,-0.0099605646708735,1,f0
58,47,-0.0103727278999634,0.0010934136086409,-0.0133340463778844,-0.0099605646708735,1,f0
59,47,-0.0103736747937053,0.0010826536646546,-0.0133335537607151,-0.0099605646708735,1,f0
60,46,-0.0101055748633804,0.000659102639586,-0.0133335540448587,-0.0099605646708735,1,f0
61,45,-0.0103089250721805,0.001008266480766,-0.0133334593610723,-0.0099605646708735,1,f0
62,43,-0.0099743657606622,1.8445131782109832e-05,-0.0100000000045408,-0.0099605646708735,1,f0
63,47,-0.0102390258176525,0.0009124736139853,-0.0133332253722892,-0.0099605646708735,1,f0
64,44,-0.0102375801926332,0.0009130730492399,-0.0133336708202539,-0.0099605646708735,1,f0
65,48,-0.0103095875784574,0.0010080343932569,-0.0133334835718203,-0.0099605646708735,1,f0
66,45,-0.0103057180993854,0.001009347275859,-0.0133340062364139,-0.0099605001109134,1,f0
67,47,-0.0103728276218401,0.0010933200875652,-0.0133335943764775,-0.0099605001109134,1,f0
68,44,-0.0101710809159415,0.0007990783705738,-0.0133335899880035,-0.0099605001109134,1,f0
69,41,-0.0101741650720161,0.0007981469129579,-0.0133335109746667,-0.0099605001109134,1,f0
70,43,-0.0101710345035598,0.0007990765110624,-0.0133335160894901,-0.0099604988271815,1,f0
71,45,-0.0102365211686188,0.0009132944606835,-0.0133334506543891,-0.0099604988271815,1,f0
72,46,-0.0101766534164989,0.0007976931433455,-0.0133335038540476,-0.0099604988271815,1,f0
73,43,-0.0100376598117048,0.0004711040561443,-0.0133335031816881,-0.0099604988271815,1,f0
74,45,-0.0101682796002488,0.0007997006664974,-0.0133333667309568,-0.0099604988271815,1,f0
75,44,-0.0101723085488466,0.0007987559260337,-0.013333354978492,-0.0099528067676446,1,f0
76,46,-0.010298501194213,0.0010008224200518,-0.0133335220070866,-0.0099528067676446,1,f0
77,45,-0.0101049726632332,0.0006592192631885,-0.0133334600106784,-0.0099528067676446,1,f0
78,48,-0.0103049019842846,0.0010096520038474,-0.0133338389883458,-0.0099527855326287,1,f0
79,44,-0.0101000846636723,0.0006602523055136,-0.0133334936165137,-0.0099527704685125,1,f0
80,48,-0.0100354206982493,0.0004715157475756,-0.0133334969032573,-0.009952762301093,1,f0
81,47,-0.0102344136706356,0.0009139656926417,-0.0133334205154284,-0.0099527704685125,1,f0
82,49,-0.0104388325963053,0.0011680070443192,-0.0133337351702725,-0.0099527643838645,1,f0
83,45,-0.0102386764509682,0.0009123925833207,-0.0133334666994422,-0.0099527643838645,1,f0
84,48,-0.0101702113378942,0.000799329546912,-0.0133334332695969,-0.009952736488889,1,f0
85,44,-0.0103751144354239,0.0010925486989312,-0.0133334236631203,-0.009952736488889,1,f0
86,41,-0.0102331966478659,0.0009143152692773,-0.0133333636034062,-0.009952736488889,1,f0
87,44,-0.0103020296088128,0.001010571091229,-0.0133335314403036,-0.009952736488889,1,f0
